DJIA,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
-0.002507009,0.004433782,0.005943149,0.018879226,-0.010652676,0.000438,0.000581507,0.014848807,0.002767373,-0.003236935,-0.033347145,-0.011002089,0.003079708,-0.010020885,-0.000500802,-0.002105788,-0.00373013,-0.009304508,-0.006657409,-0.003395684,0.001279755,-0.004389075,-0.005190201,0.003275087,0.009779087,0.004559995,-0.007787158,0.003060127,-0.006481562,-0.006314467
-0.010806768,0.008432168,-0.021742358,-0.021423625,-0.013024726,-0.01233523,-0.017084559,-0.006928692,-0.017013859,0.000498754,0.002630472,-0.007137161,-0.016893559,-0.01963948,-0.016680109,0.004626869,-0.01305329,0.004856697,0.003611758,-0.01053123,-0.008349305,-0.0125738,-0.017777426,-0.002728512,-0.011084494,-0.020554022,0.011135721,-0.009551662,-0.005189581,-0.009340513
-0.019843193,-0.018344621,-0.025211447,-0.033533153,-0.026454812,-0.016085737,-0.017897238,-0.028067697,-0.018381804,-0.013551315,-0.017055041,-0.012815569,-0.023235493,-0.024741215,-0.010245927,-0.009380848,-0.033899341,0.007337513,0.020585144,-0.014960906,-0.030116805,0.01194266,-0.017731976,-0.022099907,-0.026828187,-0.03114817,-0.004817121,-0.019381122,-0.007229819,-0.022105239
-0.002599899,0.008079669,-0.014247259,0.0051825,0.057719425,-0.009050198,0.001203012,-0.006484128,-0.017753747,-0.002783097,-0.0097331,-0.003634206,-0.007421754,0,-0.002836076,-0.003819626,-0.009723087,0.010525415,-0.021417389,0.003482621,-0.014393676,-0.009007023,0.008297944,0.000697818,0.017643102,-0.022996915,0.001258872,0.002966282,-0.00363466,0.000737674
0.005709166,-0.083302678,0.010675741,-0.001967732,0.012842907,-0.011428631,0.003515372,0.008681877,0.009427805,-0.005079622,-0.00591981,0.007255395,0.001777552,0.011729587,0.00360816,0.001168857,0.006569589,0.006451577,0.006638929,0.011202884,0.025301142,0.008122714,0.00979487,0.000836553,0.000615053,0.021685211,-0.006943849,-0.006642308,0.006988025,0.007661433
-0.011985329,-0.01141743,-0.012660413,-0.054796686,-0.020209431,-0.004608322,-0.007215101,-0.021497269,-0.014236474,-0.023967306,-0.002547944,-0.008874782,-0.013408014,-0.003774378,-0.02527171,-0.010997026,0.003383767,-0.012561695,0.010695423,-0.01301209,-0.010242871,-0.018756791,-0.010767672,-0.006294796,-0.005195556,-0.017531515,0.006943849,-0.009161355,-0.00766278,-0.005661465
0.006953453,-0.001938905,0.012429301,-0.02536151,0.028072975,0.015127456,0.003871567,0.026151809,0.011767459,0.003254713,0.005427705,0.002428339,0.006726234,0.008428371,0.007099073,0.006954114,-0.017034806,0.024594168,0.005440519,0.029787469,0.02330624,-0.009966672,0.001822761,0.021380857,0.012371504,0.017169461,-0.001258872,0.013361678,0.008733496,-0.011845677
-0.009494385,0.001639488,-0.018644116,-0.010087843,0.007588984,-0.003189797,-0.042272093,-0.008366194,-0.010425625,-0.001040158,-0.003841345,-0.008117081,-0.011575008,-0.011494569,-0.009212032,0.003936709,0.001092856,-0.010142608,0.026239716,-0.014851483,-0.013721312,-0.003257454,-0.013199569,-0.007168433,-0.005771901,-0.024983602,0.008154618,0.001570484,-0.000936718,-0.019662089
-0.020987735,0.001855777,-0.025734169,-0.017557,-0.015993347,-0.016567203,-0.004398901,-0.036750226,-0.026549791,-0.023168413,-0.021626962,-0.024335857,-0.019287354,-0.019148809,-0.016529504,-0.012287139,-0.034038746,-0.016944919,-0.036602214,-0.027414302,0.006557539,-0.012080246,-0.012628689,-0.021536219,-0.034439837,-0.009139538,-0.034102768,-0.031529488,-0.027421374,-0.02316119
0.004701179,0.014371886,0.013664262,-0.008485595,0.00086519,0.011534087,-0.002793173,0.015031568,0.012065331,-0.001598984,-0.000347139,-0.005443052,-0.00184562,0.011715436,0.007498864,0.000752078,0.022505158,0.027087526,-0.003570037,-0.005234028,0.027081013,0.005138459,0.00112063,-0.003256499,-0.009669165,0.004999817,0.008795306,0.0068151,0.000963226,-0.000333266
-0.000324409,0.007441199,-0.003338536,-0.005257866,-0.005854836,0.008222913,-0.011890589,0.0099434,-0.008318163,0.003860728,0.008067492,-0.003183687,0.007590834,0.004720337,0.00346232,0.005250054,0.005037802,0.000373807,-0.0146881,0.00127593,-0.017144263,0.004720264,0.00111959,0.004386841,-0.010967478,0.004974883,-0.002780269,0.033395099,0.001922797,-0.00490009
0.012121636,0.005811575,0.023258153,0.010406774,0.020130799,0.022937769,0.015852761,0.051599679,0.008256485,0.011887665,0.007932074,0.019785941,0.016701959,0.022742297,0.011105869,0.014428541,0.012019125,0.004473417,0.009999793,0.012807099,0.006179941,0.005869044,0.003103425,0.000705734,0.014170573,0.015646096,-0.000213913,0.023405893,-0.000686053,0.009510829
